[2020-03-14 20:00:12] [info]  [11592] Stopping service...
[2020-03-14 20:00:13] [info]  [11592] Service stop thread completed.
[2020-03-14 20:00:14] [info]  [11424] Run service finished.
[2020-03-14 20:00:14] [info]  [11424] Commons Daemon procrun finished
[2020-03-14 20:00:14] [info]  [ 1240] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 20:00:14] [info]  [ 1240] Running 'Tomcat8' Service...
[2020-03-14 20:00:14] [info]  [ 7084] Starting service...
[2020-03-14 20:00:16] [info]  [ 7084] Service started in 1155 ms.
[2020-03-14 20:27:23] [info]  [ 8136] Stopping service...
[2020-03-14 20:27:24] [info]  [ 8136] Service stop thread completed.
[2020-03-14 20:27:24] [info]  [ 1240] Run service finished.
[2020-03-14 20:27:24] [info]  [ 1240] Commons Daemon procrun finished
